id,phase,priority,area,title,status,effort,depends_on,why,implementation,acceptance,source_refs
REL-003,preview,P0,REL,Audit the public source and evidence privacy boundary,planned,M,,"Sharing a code-intelligence engine can expose private examples, source fragments or environment data.","Review the proposed public tree, history and package contents for credentials, private repo material, local paths and unlicensed assets. Document local processing and every optional network/write boundary. Extend existing secret-containment checks for answer envelopes and source excerpts. Treat source text as untrusted data and keep code evidence from becoming tool instructions.","Seeded secrets do not appear in artifacts, answers or logs. Receipt/snippet exports stay within the selected authorized scope and reject path traversal. Public history/distribution review is recorded; any required credential rotation or history cleanup is explicitly identified rather than silently performed.",backend/tests/test_secret_containment.py:1; backend/tracekite/services/redaction.py:1; backend/tracekite/services/claim_sink.py:1; .gitignore:81
REL-004,preview,P0,REL,Verify clean installation and rename migration,planned,M,CTX-002,Dependability starts with installability and preserving an existing user's data.,"Test clean Python 3.13/current supported runtime installs from both wheel and sdist, bundled grammar resources, CLI and plugin paths. Document TraceKite package/import/env/artifact name migration and safe local Docker volume reuse or copy. Inventory old local client/skill registrations without silently editing external configuration. State tested OS/architecture support.",A new checkout runs the small corpus without Docker; the Docker app starts with a clean environment; an existing graph can be retained during project rename. Wheel and sdist include schemas/config/grammars. No package release claims untested platform support or deletes prior volumes.,packaging/tracekite-core/hatch_build.py:1; packaging/tracekite-core/pyproject.toml:71; scripts/install.sh:1; plugins/tracekite/README.md:1; docker-compose.yml:1
REL-005,preview,P0,REL,Gate releases on the tested source and built artifacts,planned,M,UX-001;UX-002;UX-008;CTX-004;REL-004,The current CI builds the backend while publishing has its own smoke checks; frontend and release-SHA proof must be explicit.,"Add frontend typecheck/tests/build to CI and keep existing backend, layer, invariant, schema, precision and recall gates. Smoke-test built core distributions and MCP in a clean environment before release authorization. Ensure the publish job can only release the exact tested tag/SHA and recorded distribution digests. Re-ingest before any stored-graph accuracy gate.","All required jobs are green on the candidate SHA, including the shipped frontend and wheel. A stale schema, dropped corpus edge, false match or broken installed import blocks release. A passing local suite alone cannot mark publication done. Preserve fork-PR least privilege and require no publish secrets for contributor CI.",.github/workflows/ci.yml:1; .github/workflows/publish-pypi.yml:1; backend/tests/test_golden_corpus.py:1; scripts/accuracy/README.md:1
REL-006,preview,P0,REL,Publish an integration-first quickstart and reproducible demo,planned,S,REL-001;INT-001;CTX-004;UX-001,Adopters should see the benefit and its limits within one short local example.,"Create a small licensed cross-repo demo showing a caller, configuration binding and provider route. Include a known-empty/incomplete example and a changed-revision example. Document supported Python facade, CLI and MCP setup, selected scope, snapshot refresh, meaningful declines and all-loaded UI wording. Use normal/fullscreen captures from the actual app.",A fresh user can reproduce a cited dependency answer and understand an incomplete answer using the documented commands. All setup paths and screenshots match the candidate build; unsupported frameworks and runtime-only calls are acknowledged. No paid model or cloud account is required for the core demo.,README.md:139; README.md:248; corpus/labels.yml:1; docs/plugins-and-mcp-guide.md:1; docs/design/GOAL.md:3
REL-007,preview,P0,REL,Execute and verify the public preview release,planned,S,REL-002;REL-003;REL-005;REL-006,"Public GitHub visibility, a tag and a published package are separate release outcomes.","At the maintainer's release step, verify the audited commit, set the intended GitHub visibility, create release notes/tag, configure TraceKite trusted publishing and publish the real Python core distribution. Verify install from the public registry and links from a clean machine/account. Record release URLs and checksums. Publish npm or Rust packages only when a useful supported distribution exists.","The repository is publicly readable, the release points to the tested SHA, and tracekite-core installs from the intended registry with a working demo. Announcements match demonstrated features and preview limits. No empty namespace-holding packages or unverified claim of production readiness.",.github/workflows/publish-pypi.yml:74; packaging/tracekite-core/pyproject.toml:16; https://github.com/TraceKite/tracekite
UX-003,v0.2,P1,UX,Build a loss-accounted mixed graph projection,planned,M,UX-002,Several expanded groups need truthful relationships to both expanded and collapsed neighbors.,"Create a pure representative mapping: an underlying node maps to itself when expanded and to its group when collapsed. Transform each retained relationship through that mapping while preserving direction, type, provenance and unique underlying IDs. Summarize concealed internal links instead of drawing misleading self-loops. Keep structural containment separate from dependency relations.","Two expanded groups and one collapsed group preserve all eligible relationships exactly once in either a visible edge or a documented summary. No link references an absent rendered endpoint. Reordered input is deterministic and aggregation never invents runtime traffic, certainty or relationships.",frontend/src/lib/graphOverviewProjection.ts:23; frontend/src/lib/graphOverviewProjection.ts:121; frontend/src/hooks/useGraphProjection.ts:64
UX-004,v0.2,P1,UX,Add multi-group expansion and honest view/link controls,planned,M,UX-003,Opening one group currently replaces the rest of the map and prevents side-by-side investigation.,"Replace the single expanded-group state with context-scoped expanded group IDs. Offer Groups, Expanded groups and Loaded nodes presets, plus Summary, Detail where endpoints exist, Selected and Hidden link modes. Disable invalid combinations or offer to expand the endpoints. Preserve surrounding groups, camera, selection, Back/Escape and scope reset. Share the projection contract across 2D/3D.",Users can expand/collapse two groups independently without losing context. Expand loaded groups obeys both node and edge budgets and always says loaded. Changing repos/view resets incompatible expansion; rapid switches cannot resurrect stale state. Controls have keyboard names and identical semantics in both renderers.,frontend/src/store/graphNavigationStore.ts:5; frontend/src/hooks/useGraphProjection.ts:89; frontend/src/components/GraphControls.tsx:7; frontend/src/components/GraphCanvas3D.tsx:69
UX-005,v0.2,P1,UX,"Unify search, filters and evidence-focused navigation",planned,M,UX-004,Large loaded graphs need a direct route to the relevant relationship without losing the surrounding map.,"Reuse repository search and existing filters. Distinguish highlighting within loaded data from searching the indexed scope. Reveal/fetch a requested result with its connecting endpoints, open the relevant group and keep unrelated context subdued. Provide an accessible result list and explicit counts for no-match, not-loaded and failed search states.","Search works for nodes outside the current loaded subset and respects selected repo permissions. Search clearing restores the prior camera/expansion. Type filters, hidden links and selection have consistent counts; duplicate names across repos remain distinguishable.",frontend/src/hooks/useGraphProjection.ts:64; frontend/src/hooks/useGraphDataLoader.ts:47; backend/tracekite/routes/graph.py:46; frontend/src/lib/api.ts:1
UX-006,v0.2,P1,UX,Make summary links open an inspectable relationship list,planned,M,UX-003;CTX-005,An aggregate line must let a reader inspect the real connections behind its count.,"Add an edge/summary inspector using unique underlying relationship IDs. Show direction, relation types, structural-versus-matched origin, repo-qualified citations and applicable revision/coverage status. Let the reader open one real connection or expand endpoints. Call static counts relationships, not traffic.",Summary counts reconcile with the inspector after deduplication and filters. Opposite-direction and mixed-type links are not silently combined. Ambiguous evidence ownership remains explicit and candidate/unverified relationships never acquire a verified label from aggregation.,frontend/src/lib/graphOverviewProjection.ts:121; frontend/src/lib/types.ts:1; backend/tracekite/models/graph_models.py:75
UX-007,v0.2,P1,UX,Measure render budgets and verify usable 2D/3D exploration,planned,M,UX-004;UX-005;UX-006;UX-008,A denser graph must remain navigable without secretly suppressing requested data.,"Measure layout, frame latency, label collisions and interaction cost on small, dense and maximum-budget fixtures. Choose node/edge thresholds from those measurements and expose operator-tunable budgets. Reuse stable group anchors and deterministic positions; reduce animation/detail with an explicit indicator. Offer bounded refinement/export or a list when the request exceeds the render budget.","Document measured budgets and test normal/fullscreen 2D/3D on declared hardware. Expand/collapse, pan, zoom, hover, selection and keyboard navigation remain responsive. No dangling edges, unreadable overlays or silent switch from All links to selected-only. Visual proof accompanies numerical results.",frontend/src/components/GraphCanvas2D.tsx:260; frontend/src/components/GraphCanvas3D.tsx:1; frontend/src/lib/graphOverviewProjection.ts:69; backend/tracekite/routes/health.py:21
CTX-005,v0.2,P1,CTX,Issue stable receipts with repository-qualified evidence,planned,L,CTX-002,"The same relative path can occur in several repos, so plain file:line strings cannot identify a source reliably.","Add typed receipt references binding a canonical fact/derivation to the full snapshot digest, engine/config identity, source repository, revision/content digest, side/role and exact span. Preserve provenance through emission, joining, fusion and storage instead of guessing ownership after evidence concatenation. Keep fact identity separate from movable line spans and represent missing provenance explicitly.",Two repos both containing src/client.py resolve citations to the correct source and role. Line shifts do not churn semantic fact IDs. Fused and structural relationships have honest provenance states. Receipt digests cover the actual inputs; old metadata cannot be upgraded by inference.,backend/tracekite/mcp_server.py:53; backend/tracekite/models/graph_models.py:75; backend/tracekite/utils/evidence.py:1; backend/tracekite/db/artifact.py:53
CTX-006,v0.2,P1,CTX,Verify receipt freshness without overstating semantic validity,planned,M,CTX-005,A snapshot may be reproducible but no longer describe the source a host is about to change.,"Add explicit verification against a requested revision or working-tree digest. Keep current receipt immutable and return current, changed, missing or unverifiable results plus required rescan/relink actions. Reuse token/line re-verification as a heuristic diagnostic only. Read source through authorized repo-root adapters and reject path escapes. Keep observation times outside canonical fact hashes.","Tests cover line movement, same token with changed semantics, config-only edits, deleted files, duplicate relative paths and unreadable revisions. A checksum match is not presented as malicious-content protection. Stale or unverifiable results cannot silently become an authorization to act.",backend/tracekite/services/evidence_reverify.py:25; backend/tracekite/services/evidence_reverify.py:43; backend/tracekite/services/evidence_reverify.py:85; backend/tracekite/db/artifact.py:128
CTX-007,v0.2,P1,CTX,Export bounded deterministic evidence packs,planned,M,CTX-004;CTX-005;CTX-006,Frameworks benefit from compact reusable answers that retain their assumptions and can be verified later.,"Export a canonical JSON pack for a typed query, snapshot, scope and explicit budget, with facts, receipt references, completeness reasons and omitted-result counts. Derive optional Markdown from it. Include query normalization, configuration, schema/engine version and source digests in the cache key. Keep tokenization policy versioned and distinguish size bounds from relevance ranking.","Identical requests on identical snapshots produce byte-identical packs. Changed configs, scope, source content or engine versions invalidate them. Budgeting never drops uncertainty or source identity, and reports if the mandatory envelope alone exceeds the budget. Cross-tenant/org caching is not enabled by default.",backend/tracekite/db/artifact.py:102; backend/tracekite/wire.py:1; docs/design/architecture.md:11; docs/design/architecture.md:159
CTX-008,v0.2,P1,CTX,Record bounded attributable decline diagnostics,planned,M,CTX-002,Aggregate reason counters cannot explain which query or source location an unresolved match affects.,Extend the decline hook/context with optional typed claim/repo/resolver/span references and bounded samples. Preserve exact aggregate counters and record sample truncation. Store detailed diagnostics with scan/link results rather than expanding broadcast side tables with one row per claim. Unknown attribution is distinct from query-specific attribution.,"Every retained diagnostic resolves to actual evidence or explicitly says unattributed. A per-query report does not assign unrelated global counts to its target. High-volume declines respect resource bounds, redaction and determinism, and do not change produced edges.",backend/tracekite/services/linker/base.py:117; backend/tracekite/services/linker/hooks.py:1; backend/tracekite/services/linker/engine.py:48; docs/design/architecture.md:376
CTX-009,v0.2,P1,CTX,Turn observed coverage gaps into actionable contributor work,planned,M,CTX-008,Users and maintainers need to know which verified limitation to investigate next.,"Group gaps by actual unsupported idiom, parser failure, absent configuration or unresolved hint. Report unique affected repos/files/claims and representative citations. Reuse alias suggestions as reviewable drafts. Suggest explicit inspection/reindex/config/parser actions with prerequisites; separate observed counts from hypothetical edge recovery.",Ruby/PHP support is read from the current matrix rather than presumed missing. Duplicate evidence does not inflate affected-site counts. No report claims that adding a parser will recover N edges without a before/after experiment. Suggestions do not edit configs or create accepted edges.,backend/tracekite/services/extraction_coverage.py:50; backend/tracekite/services/linker/alias_suggestions.py:58; backend/tracekite/services/absence.py:52
CTX-011,v0.2,P1,CTX,Expose reliability evidence and its statistical limits,planned,M,CTX-001,The current ceiling-bounded prior is not a calibrated probability that an individual answer is true.,"Publish served confidence, basis, labelled TP/FP/sample count, corpus/config identity and supported interval metadata. Keep prior, measured precision and query completeness as separate concepts. Preserve correlation-aware edge/path treatment and document label-selection/domain-shift limits. Reuse calibration code and do not introduce truth-times-impact ranking into core.",An unlabelled or sparsely labelled tier remains visibly prior-based. Wilson upper bounds are never advertised as lower guarantees. A 0.99 edge does not imply 99% recall or safe deletion. Calibration changes alter answer identity when they alter reported scores.,backend/tracekite/services/linker/reliability.py:74; backend/tracekite/services/linker/reliability.py:87; backend/tracekite/services/linker/confidence_math.py:1; config/confidence.yml:1
INT-002,v0.2,P1,INT,Compose graph primitives into typed investigation reports,planned,M,CTX-004;CTX-007;CTX-009;CTX-011,An integration should receive an actionable explanation instead of reconstructing meaning from several raw tool calls.,"Add bounded deterministic templates for explain_connection, assess_change, inspect_contract and investigate_missing_connection through the shared facade. Compose existing consumers, traces, drift and PR comparison services. Return source/config paths, known affected consumers, conditions, unresolved alternatives and suggested verification steps. Keep arbitrary natural-language planning, remediation decisions and model prompting in the host.","A host can answer what depends on an endpoint, why, what a supplied change affects and what is still missing from one typed report. Every derived conclusion references its input facts; alternative candidates stay unaccepted. The same request produces equivalent library/CLI/MCP results without LLM calls or hidden source edits.",backend/tracekite/services/linker/impact.py:133; backend/tracekite/services/linker/contract_drift.py:1; backend/tracekite/cli_explain.py:1; backend/tracekite/services/linker/traverse.py:1
INT-003,v0.2,P1,INT,Test framework adapters and shared language-neutral fixtures,planned,M,INT-001;CTX-004,Dependability must survive the language and transport boundary an adopter actually uses.,"Publish JSON Schema fixtures and minimal examples for Python embedding, JavaScript/TypeScript subprocess or MCP use, and one CI consumer. Route REST endpoints through the same analysis services where applicable. Specify cancellation, budgets, refresh, typed errors and untrusted excerpt handling. Add a real TypeScript package only if the adapter justifies a supported distribution.","At least two independent integration paths validate the same positive, empty, incomplete, stale and error fixtures. No host drops envelope warnings while parsing facts. Core remains usable without server dependencies. No Rust crate or npm placeholder is published solely to occupy a name.",backend/tracekite/wire.py:1; schemas/tracekite-wire-1.3.1.json:1; plugins/tracekite/README.md:1; .github/workflows/publish-artifact.yml:1; frontend/src/lib/api.ts:1
REL-008,v0.2,P1,REL,Measure whether richer intelligence improves real decisions,planned,M,CTX-007;CTX-009;INT-002;INT-003;UX-007,More metadata and more features are only useful if adopters make better decisions with acceptable cost.,"Create a versioned held-out evaluation set containing cross-repo changes, alternative providers, missing inputs, partial language support, stale configs, poisoned comments and high-degree graphs. Compare direct search, current graph answers and new intelligence reports on the same tasks across at least two host/agent configurations. Record correctness, unsupported-safe assertions, evidence validity, tokens/bytes, latency and memory.","Publish reproducible results with corpus/version/hardware and failure examples. Safety-oriented fixtures permit zero unsupported safe-to-delete claims; ambiguous tasks may correctly decline. Improvements are reported only where measured, and larger context/ranking features are not promoted if they reduce task success.",backend/tests/test_golden_corpus.py:1; backend/tests/test_secret_containment.py:1; backend/tools/benchmark.py:1; https://arxiv.org/abs/2602.11988; https://arxiv.org/abs/2601.20404
CTX-010,later,P2,CTX,Simulate bounded claim changes before code is edited,planned,L,CTX-005;CTX-006;CTX-008,Pre-change analysis can reveal affected consumers and new uncertainty while clearly remaining hypothetical.,"Accept explicit supported add/remove/replace operations on repo-qualified claims in an immutable snapshot copy. Run the full existing broadcast/normalize/join pipeline with the same resolved config and deterministic inputs. Report gained/lost relationships, candidate-state transitions and attributable decline deltas with synthetic assumptions clearly separated from source evidence. Add bounded CLI/MCP adapters only after the pure engine is tested.","Removing one provider preserves an edge if another supported provider remains. Ambiguous or unsupported mutations decline. Changing a gateway or config is applied before normalization. A simulation matches an equivalent fixture source edit and rescan for supported operations. Original claims, config and stored graph are unchanged; runtime breakage is never asserted solely from a simulated lost edge.",backend/tracekite/services/linker/engine.py:63; backend/tracekite/services/linker/impact.py:133; backend/tracekite/services/linker/normalize.py:1; docs/design/architecture.md:220
INT-004,later,P2,INT,Refresh intelligence incrementally and invalidate stale answers,planned,L,CTX-006;CTX-007;CTX-008;INT-002,Frameworks need to know when previously consumed context stops matching their source state.,"Build a host-controlled refresh/invalidation adapter using existing fingerprints, incremental scans and artifact publishing. Maintain an evidence-to-answer dependency map keyed by full snapshot identity. On source/config/tool changes, mark affected packs stale and recompute only supported affected work. Keep polling/webhooks, authorization and scheduling outside pure core; make replacement snapshots atomic.",An unchanged source reuses its pack; a changed provider or config invalidates every dependent answer without presenting a mixed snapshot. Failed refresh retains the previous snapshot with an explicit stale/error status. Multi-repo scope and access partitions prevent cross-project leaks. Performance is measured against full recomputation.,backend/tracekite/services/reingest.py:1; backend/tracekite/services/linker/incremental.py:1; backend/tracekite/db/artifact.py:149; .github/workflows/publish-artifact.yml:1
CTX-012,deferred,P3,CTX,Evaluate optional host-side context selection,deferred,M,CTX-007;CTX-011;REL-008,Expected-truth times impact is not a justified default ranking formula and general retrieval is outside the current core scope.,"Only after the evidence-pack evaluation, prototype host-side budget selection with an explicit relevance objective, redundancy handling and mandatory uncertainty retention. Compare simple canonical/query-specific ordering with any proposed confidence/impact/freshness heuristic. Keep this in an optional adapter/example unless an explicit design decision changes architecture scope.","Measured task success improves at the same budget without removing evidence or increasing unsupported conclusions. Scores are described as task heuristics, not calibrated truth. A negative or inconclusive evaluation leaves the feature deferred; no ranking or embedding dependency enters core.",docs/design/architecture.md:11; docs/design/GOAL.md:3; backend/tracekite/services/linker/reliability.py:87
